Program (original),Activity (original),POE,Conveyance,Conveyance subtype,pathway type,Container_edge,Pathway,Subpathway,Notes,quantification_purpose,Activity1,Activity2,Activity3,Activity4,Activity.description,Activity.description.formula,program.subcat,land.border.passenger.program,passenger.pathway
Maritime,Maritime All Direct Foreign Arrivals,Maritime,unspecified,unspecified,passenger pathway,conveyance,na,,,,Maritime All Direct Foreign Arrivals,non-passenger related,non-passenger related,non-passenger related,"Record the total number of vessels arriving directly from a foreign port. This includes: -Vessels from Canada, -Vessels that transit the Panama Canal in route between U.S. ports, -Vessels on deferred boarding, -Ocean going tugs, -Yachts, -Pleasure boats, -Fishing boats, ferry boats, etc. All vessels which meet the above criteria should be counted regardless of whether they were boarded by CBP. (Exclude vessels for bunkers, barges, pilot vessels, local harbor tugs)","Record the total number of vessels arriving directly from a foreign port. This includes: -Vessels from Canada, -Vessels that transit the Panama Canal in route between U.S. ports, -Vessels on deferred boarding, -Ocean going tugs, -Yachts, -Pleasure boats, -Fishing boats, ferry boats, etc. All vessels which meet the above criteria should be counted regardless of whether they were boarded by CBP. (Exclude vessels for bunkers, barges, pilot vessels, local harbor tugs)",Vessel,N/A,N/A
Maritime,"Maritime Arriving Passenger/Crew, Count",Maritime,unspecified,passenger,passenger pathway,baggage,na,,,,"Maritime Arriving Passenger/Crew, Count",Total number of people arriving,Total number of people arriving,Total number of people (or vehicles for vehicle pathway) arriving,Record the total number of passengers and crew subject to inspection arriving on all direct foreign vessels. This includes anyone disembarking or remaining on the vessel.,Record the total number of passengers and crew subject to inspection arriving on all direct foreign vessels. This includes anyone disembarking or remaining on the vessel.,Passenger,N/A,Maritime Passenger
Maritime,Maritime Baggage Civil Penalties Passenger/Crew,Maritime,unspecified,passenger,passenger pathway,baggage,na,,,,Baggage Civil Penalties Passenger/Crew,number of people issued civil penalties (CBP-AI Form 591),number of people issued civil penalties (CBP-AI Form 591),number of people issued civil penalties (CBP-AI Form 591),"Record the number of passenger/crew civil penalties issued, (CBP-AI Form 591).","Record the number of passenger/crew civil penalties issued, (CBP-AI Form 591).",Passenger,N/A,Maritime Passenger
Maritime,Maritime Baggage Hatching Eggs Seized,Maritime,unspecified,passenger,passenger pathway,baggage,na,,,,,,,Animal QMIs,,,Passenger,N/A,Maritime Passenger
Maritime,Maritime Baggage Live Birds Seized,Maritime,unspecified,passenger,passenger pathway,baggage,na,,,,,,,Animal QMIs,,,Passenger,N/A,Maritime Passenger
Maritime,Maritime Baggage QMIs Avian,Maritime,unspecified,passenger,passenger pathway,baggage,na,,,,QMIs Avian - Baggage ,QMIs Avian,Animal QMIs,Animal QMIs,Record the number of Avian interceptions from maritime passenger/crew baggage inspections.,Record the number of Avian interceptions from maritime passenger/crew baggage inspections.,Passenger,N/A,Maritime Passenger
Maritime,Maritime Baggage QMIs Avian Byproduct,Maritime,unspecified,passenger,passenger pathway,baggage,na,,,,QMIs Avian Byproduct - Baggage ,QMIs Avian Byproduct,Animal QMIs,Animal QMIs,Record the number of inedible Avian byproducts from maritime passenger/crew baggage.,Record the number of inedible Avian byproducts from maritime passenger/crew baggage.,Passenger,N/A,Maritime Passenger
Maritime,Maritime Baggage QMIs Dairy,Maritime,unspecified,passenger,passenger pathway,baggage,na,,,,QMIs Dairy - Baggage ,QMIs Dairy,Animal QMIs,Animal QMIs,Record the number of Dairy interceptions from maritime passenger/crew baggage inspections.,Record the number of Dairy interceptions from maritime passenger/crew baggage inspections.,Passenger,N/A,Maritime Passenger
Maritime,Maritime Baggage QMIs Dairy Byproduct,Maritime,unspecified,passenger,passenger pathway,baggage,na,,,,QMIs Dairy Byproduct - Baggage ,QMIs Dairy Byproduct,Animal QMIs,Animal QMIs,Record the number of inedible Dairy byproducts from maritime passenger/crew baggage.,Record the number of inedible Dairy byproducts from maritime passenger/crew baggage.,Passenger,N/A,Maritime Passenger
Maritime,Maritime Baggage QMIs Other Meat,Maritime,unspecified,passenger,passenger pathway,baggage,na,,,,QMIs Other Meat - Baggage ,QMIs Other Meat,Animal QMIs,Animal QMIs,"Record the number of other meat intercepted that does not fall under the dairy, avian, swine, or ruminant categories from maritime passenger/crew baggage inspections.  Examples would include bush meat, monkey, rodents, equine, and other unidentifiable meat products.","Record the number of other meat intercepted that does not fall under the dairy, avian, swine, or ruminant categories from maritime passenger/crew baggage inspections.  Examples would include bush meat, monkey, rodents, equine, and other unidentifiable meat products.",Passenger,N/A,Maritime Passenger
Maritime,Maritime Baggage QMIs Other Meat Byproduct,Maritime,unspecified,passenger,passenger pathway,baggage,na,,,,,,,Animal QMIs,,,Passenger,N/A,Maritime Passenger
Maritime,Maritime Baggage QMIs Ruminant,Maritime,unspecified,passenger,passenger pathway,baggage,na,,,,QMIs Ruminant - Baggage ,QMIs Ruminant,Animal QMIs,Animal QMIs,Record the number of Ruminant interceptions from maritime passenger/crew baggage inspections.,Record the number of Ruminant interceptions from maritime passenger/crew baggage inspections.,Passenger,N/A,Maritime Passenger
Maritime,Maritime Baggage QMIs Ruminant Byproduct,Maritime,unspecified,passenger,passenger pathway,baggage,na,,,,QMIs Ruminant Byproduct - Baggage ,QMIs Ruminant Byproduct,Animal QMIs,Animal QMIs,Record the number of inedible Ruminant byproducts from maritime passenger/crew baggage.,Record the number of inedible Ruminant byproducts from maritime passenger/crew baggage.,Passenger,N/A,Maritime Passenger
Maritime,Maritime Baggage QMIs Swine,Maritime,unspecified,passenger,passenger pathway,baggage,swine_products_byproducts,personal_use_consumption,,interception_or_violation,QMIs Swine - Baggage ,QMIs Swine,Animal QMIs,Animal QMIs,Record the number of Swine interceptions from maritime passenger/crew baggage inspections.,Record the number of Swine interceptions from maritime passenger/crew baggage inspections.,Passenger,N/A,Maritime Passenger
Maritime,Maritime Baggage QMIs Swine Byproduct,Maritime,unspecified,passenger,passenger pathway,baggage,swine_products_byproducts,personal_use_consumption,,interception_or_violation,QMIs Swine Byproduct - Baggage ,QMIs Swine Byproduct,Animal QMIs,Animal QMIs,Record the number of inedible Swine byproducts from maritime passenger/crew baggage.,Record the number of inedible Swine byproducts from maritime passenger/crew baggage.,Passenger,N/A,Maritime Passenger
Maritime,Maritime Baggage VS 17-8 Issued (Pet Birds),Maritime,unspecified,passenger,passenger pathway,baggage,na,,"Pet birds seem very unlikely to carry ASF. Natural birds like carrion might carry it over a border, but otherwise this seems far-fetched",,,,,Animal QMIs,,,Passenger,N/A,Maritime Passenger
Maritime,Maritime Cargo Violations CBP/PPQ 592 or PPQ 518,Maritime,commercial,cargo,passenger pathway,cargo_shipment,na,,,,Maritime Cargo Violations CBP/PPQ 592 or PPQ 518,non-passenger related,non-passenger related,non-passenger related,"Record the number of cargo violations issued for the improper breaking of PPQ seals or unauthorized breaking of APHIS seals on vessel stores, galleys, and cargo. Include violations issued for unauthorized movement of regulated cargo.  Source document is the PPQ518 or CBP-AI/PPQ 592","Record the number of cargo violations issued for the improper breaking of PPQ seals or unauthorized breaking of APHIS seals on vessel stores, galleys, and cargo. Include violations issued for unauthorized movement of regulated cargo.  Source document is the PPQ518 or CBP-AI/PPQ 592",Cargo,N/A,N/A
Maritime,"Maritime Cargo/Conveyance Treatments, Non-Fumigation",Maritime,commercial,cargo,passenger pathway,conveyance,na,,,,"Maritime Cargo/Conveyance Treatments, Non-Fumigation",non-passenger related,non-passenger related,non-passenger related,"Record the number of non-fumigation treatments performed in/on/with cargo or conveyance. Include cleaning/disinfection of conveyances, removing rice straw, washing (steam- cleaning) dirty vehicles, aerosol applications, destroying or re-exporting prohibited commodities such as orange peel, and reconditioning of cargo or violative WPM. (For animal-related treatments, see activity code 1154.)","Record the number of non-fumigation treatments performed in/on/with cargo or conveyance. Include cleaning/disinfection of conveyances, removing rice straw, washing (steam- cleaning) dirty vehicles, aerosol applications, destroying or re-exporting prohibited commodities such as orange peel, and reconditioning of cargo or violative WPM. (For animal-related treatments, see activity code 1154.)",Cargo,N/A,N/A
Maritime,Maritime Coastwise Ship Inspections,Maritime,unspecified,unspecified,passenger pathway,conveyance,na,,,,Maritime Coastwise Ship Inspections,non-passenger related,non-passenger related,non-passenger related,Record the number of coastwise vessels boarded and inspected. Include the inspection of coastwise vessels for seal checks.  Source document is Form 288.,Record the number of coastwise vessels boarded and inspected. Include the inspection of coastwise vessels for seal checks.  Source document is Form 288.,Vessel,N/A,N/A
Maritime,"Maritime Container Inspection, Miscellaneous Cargo",Maritime,commercial,cargo,passenger pathway,cargo_shipment,na,,,,"Maritime Container Inspection, Miscellaneous Cargo",non-passenger related,non-passenger related,non-passenger related,"Record the number of physical inspections performed on each cargo container NOT specifically regulated by 7, 9, or 50 CFR. Count the number of total containers opened and inspected. DO NOT include examinations by Non-Intrusive Inspection Technology.","Record the number of physical inspections performed on each cargo container NOT specifically regulated by 7, 9, or 50 CFR. Count the number of total containers opened and inspected. DO NOT include examinations by Non-Intrusive Inspection Technology.",Cargo,N/A,N/A
Maritime,"Maritime Container Inspections, Regulated Cargo",Maritime,commercial,cargo,passenger pathway,cargo_shipment,na,,,,"Maritime Container Inspections, Regulated Cargo",non-passenger related,non-passenger related,non-passenger related,"Report the number of physical inspections performed on each cargo container specifically regulated by 7, 9, or 50 CFR.  Count the number of total containers opened and inspected. DO NOT include examinations by X-RAY ONLY!","Report the number of physical inspections performed on each cargo container specifically regulated by 7, 9, or 50 CFR.  Count the number of total containers opened and inspected. DO NOT include examinations by X-RAY ONLY!",Cargo,N/A,N/A
Maritime,Maritime Direct Foreign Ship  Inspections During Regular Hours,Maritime,commercial,unspecified,passenger pathway,conveyance,na,,,,Maritime Direct Foreign Ship  Inspections During Regular Hours,non-passenger related,non-passenger related,non-passenger related,"Record the number of direct foreign commercial vessels boarded and inspected during regular hours of service. Include cruise ships, tankers, bulk carriers, ferries, and ocean-going tugs. Do not include vessels listed under code 1005.  Source document is Form 288.","Record the number of direct foreign commercial vessels boarded and inspected during regular hours of service. Include cruise ships, tankers, bulk carriers, ferries, and ocean-going tugs. Do not include vessels listed under code 1005.  Source document is Form 288.",Vessel,N/A,N/A
Maritime,"Maritime Exterior Container Inspection, Miscellaneous Cargo",Maritime,commercial,cargo,passenger pathway,cargo_shipment,na,,,,"Maritime Exterior Container Inspection, Miscellaneous Cargo",non-passenger related,non-passenger related,non-passenger related,"Record the number of physical inspections performed on the exterior of containers NOT specifically regulated by 7, 9, or 50 CFR. Count the number of total containers inspected. DO NOT include examinations by Non-Intrusive Inspection Technology. Do Not include totals recorded under Activity Code 1008B, 1008C, 1009B or 1009C.","Record the number of physical inspections performed on the exterior of containers NOT specifically regulated by 7, 9, or 50 CFR. Count the number of total containers inspected. DO NOT include examinations by Non-Intrusive Inspection Technology. Do Not include totals recorded under Activity Code 1008B, 1008C, 1009B or 1009C.",Cargo,N/A,N/A
Maritime,"Maritime Garbage Disposal, Entries",Maritime,unspecified,unspecified,passenger pathway,garbage,swine_products_byproducts,legal_garbage,,interception_or_violation,"Maritime Garbage Disposal, Entries",non-passenger related,non-passenger related,non-passenger related,Record the number of garbage removals from vessels. This activity code is paired with activity code 1023.,Record the number of garbage removals from vessels. This activity code is paired with activity code 1023.,Vessel,N/A,N/A
Maritime,"Maritime Garbage Disposal, Wgt",Maritime,unspecified,unspecified,passenger pathway,garbage,swine_products_byproducts,legal_garbage,,interception_or_violation,"Maritime Garbage Disposal, Wgt",non-passenger related,non-passenger related,non-passenger related,Record the weight in kilograms of garbage removed from vessels. Weight on commercial disposal may be obtained from the weight ticket given to the truck driver at the scales when the driver exits from the disposal facility. See code 1022.,Record the weight in kilograms of garbage removed from vessels. Weight on commercial disposal may be obtained from the weight ticket given to the truck driver at the scales when the driver exits from the disposal facility. See code 1022.,Vessel,N/A,N/A
Maritime,"Maritime Inspections, Ships Direct Foreign outside of Regular Hours",Maritime,commercial,unspecified,passenger pathway,conveyance,na,,,,"Maritime Inspections, Ships Direct Foreign outside of Regular Hours",non-passenger related,non-passenger related,non-passenger related,"Record the number of direct foreign commercial vessels boarded and inspected outside regular hours of service. Include cruise ships, tankers, bulk carriers, and ocean-going tugs. Exclude yachts, military vessels, and historical craft (Count is by number of Form 288's completed)","Record the number of direct foreign commercial vessels boarded and inspected outside regular hours of service. Include cruise ships, tankers, bulk carriers, and ocean-going tugs. Exclude yachts, military vessels, and historical craft (Count is by number of Form 288's completed)",Vessel,N/A,N/A
Maritime,Maritime Miscellaneous Cargo - Document Review/Clearance,Maritime,commercial,cargo,passenger pathway,cargo_shipment,na,,,,Maritime Miscellaneous Cargo - Document Review/Clearance,non-passenger related,non-passenger related,non-passenger related,"Record by bills of lading the number of document review/clearances of cargo HELD to determine if the cargo is regulated by 7 CFR, 9 CFR, or 50 CFR. If a document review results in an inspection, record the inspection under 1009B. Visual verification may be performed on the cargo but only to satisfy the conditions of the permit to allow entry. EXAMPLE: 1) ""Foodstuff"" listed on the manifest is held. The invoice supplied by the broker states that the shipment is canned mushrooms. The cargo is released, and no inspection was required. 2) ""Pharmaceuticals"" is held. A medical certificate states that the shipment is penicillin pills. The shipment is released, and no inspection was required. 3) ""Meat"" is held. An updated manifest provided by the carrier states that bill is crab meat. The cargo is released, and no inspection was required. Manifest review is not sufficient to determine if a shipment or commodity meets entry requirements and should not be recorded as a clearance under this activity code.","Record by bills of lading the number of document review/clearances of cargo HELD to determine if the cargo is regulated by 7 CFR, 9 CFR, or 50 CFR. If a document review results in an inspection, record the inspection under 1009B. Visual verification may be performed on the cargo but only to satisfy the conditions of the permit to allow entry. EXAMPLE: 1) ""Foodstuff"" listed on the manifest is held. The invoice supplied by the broker states that the shipment is canned mushrooms. The cargo is released, and no inspection was required. 2) ""Pharmaceuticals"" is held. A medical certificate states that the shipment is penicillin pills. The shipment is released, and no inspection was required. 3) ""Meat"" is held. An updated manifest provided by the carrier states that bill is crab meat. The cargo is released, and no inspection was required. Manifest review is not sufficient to determine if a shipment or commodity meets entry requirements and should not be recorded as a clearance under this activity code.",Cargo,N/A,N/A
Maritime,Maritime Miscellaneous Cargo - Inspection,Maritime,commercial,cargo,passenger pathway,cargo_shipment,na,,,,Maritime Miscellaneous Cargo - Inspection,non-passenger related,non-passenger related,non-passenger related,"Record the number of physical inspections performed on cargo by bill of lading specifically NOT regulated by 7 or 9 CFR or 50 CFR.  DO NOT include examinations by Non-Intrusive Inspection Technology.  EXAMPLES of Miscellaneous Cargo:  Italian Tile, Handicrafts, Non-Compliant Wood Packing Material, Farm Equipment, Military household goods.","Record the number of physical inspections performed on cargo by bill of lading specifically NOT regulated by 7 or 9 CFR or 50 CFR.  DO NOT include examinations by Non-Intrusive Inspection Technology.  EXAMPLES of Miscellaneous Cargo:  Italian Tile, Handicrafts, Non-Compliant Wood Packing Material, Farm Equipment, Military household goods.",Cargo,N/A,N/A
Maritime,Maritime Other Meat Byproduct - Vessel,Maritime,unspecified,unspecified,passenger pathway,conveyance,na,,,,,,,non-passenger related,,,Vessel,N/A,N/A
Maritime,Maritime Other Ship Inspections,Maritime,noncommercial,unspecified,passenger pathway,conveyance,na,,,,Maritime Other Ship Inspections,non-passenger related,non-passenger related,non-passenger related,"Record the number of military, yachts, fishing vessels, historical craft, etc.  Do not include vessels listed under code 1003.  Source document is Form 288.","Record the number of military, yachts, fishing vessels, historical craft, etc.  Do not include vessels listed under code 1003.  Source document is Form 288.",Vessel,N/A,N/A
Maritime,"Maritime Passenger/Crew, Inspections",Maritime,unspecified,unspecified,passenger pathway,baggage,na,,,,"Passenger/Crew, Inspections",Total number of people inspected,Total number of people inspected,Total number of people (or vehicles for vehicle pathway) inspected,Record the number of passengers and crew whose baggage is physically opened and inspected.  This includes inspections by X-Ray.  Also include departing crew members who will return to the vessel.,Record the number of passengers and crew whose baggage is physically opened and inspected.  This includes inspections by X-Ray.  Also include departing crew members who will return to the vessel.,Passenger,N/A,Maritime Passenger
Maritime,Maritime Pest Interceptions Submitted - Baggage,Maritime,unspecified,passenger,passenger pathway,baggage,na,,,,Pest Interceptions Submitted - Baggage,Total Pest Interceptions Submitted,Total Pest Interceptions Submitted,Total Pest Interceptions Submitted,Report the number of pests intercepted and submitted for identification from maritime passenger/crew baggage.,Report the number of pests intercepted and submitted for identification from maritime passenger/crew baggage.,Passenger,N/A,Maritime Passenger
Maritime,Maritime Pest Interceptions Submitted - Cargo,Maritime,commercial,cargo,passenger pathway,cargo_shipment,na,,,,Maritime Pest Interceptions Submitted - Cargo,non-passenger related,non-passenger related,non-passenger related,Report the number of pests intercepted and submitted for identification from maritime cargo.,Report the number of pests intercepted and submitted for identification from maritime cargo.,Cargo,N/A,N/A
Maritime,Maritime Pest Interceptions Submitted - Stores & Quarters,Maritime,unspecified,unspecified,passenger pathway,unspecified,na,,,,Maritime Pest Interceptions Submitted - Stores & Quarters,non-passenger related,non-passenger related,non-passenger related,Report the number of pests intercepted and submitted for identification from vessel stores & or quarters.,Report the number of pests intercepted and submitted for identification from vessel stores & or quarters.,Vessel,N/A,N/A
Maritime,Maritime Plant QMIs - Baggage,Maritime,unspecified,passenger,passenger pathway,baggage,na,,,,Plant QMIs - Baggage,Plant QMIs,Plant QMIs,Plant QMIs,Record the number of plant QMIs intercepted from maritime passenger and/or crew baggage. NOTE: Three different fruits would count as three interceptions out of baggage.,Record the number of plant QMIs intercepted from maritime passenger and/or crew baggage. NOTE: Three different fruits would count as three interceptions out of baggage.,Passenger,N/A,Maritime Passenger
Maritime,Maritime Plant QMIs - Stores/Qtrs,Maritime,unspecified,unspecified,passenger pathway,unspecified,na,,,,Maritime Plant QMIs - Stores/Qtrs,non-passenger related,non-passenger related,non-passenger related,Record the number of plant QMIs intercepted from all vessel stores and/or quarters.,Record the number of plant QMIs intercepted from all vessel stores and/or quarters.,Vessel,N/A,N/A
Maritime,Maritime Regulated Cargo - Document Review/Clearance,Maritime,commercial,cargo,passenger pathway,cargo_shipment,na,,,,Maritime Regulated Cargo - Document Review/Clearance,non-passenger related,non-passenger related,non-passenger related,"Record by cargo bills of lading the number of document review/clearances of cargo specifically regulated by 7 CFR, 9 CFR, or 50 CFR. This category will include all bills lading which only paperwork is required to release the shipment. Include mandatory treatments and bills released under National Agricultural Release Program (NARP).   Visual verification may be performed on the cargo but only to satisfy the conditions of the permit to allow entry.   If a document review results in an inspection, record the inspection under 1008B. Manifest review is not sufficient to determine if a shipment or commodity meets entry requirements and should not be recorded as a clearance under this activity code.","Record by cargo bills of lading the number of document review/clearances of cargo specifically regulated by 7 CFR, 9 CFR, or 50 CFR. This category will include all bills lading which only paperwork is required to release the shipment. Include mandatory treatments and bills released under National Agricultural Release Program (NARP).   Visual verification may be performed on the cargo but only to satisfy the conditions of the permit to allow entry.   If a document review results in an inspection, record the inspection under 1008B. Manifest review is not sufficient to determine if a shipment or commodity meets entry requirements and should not be recorded as a clearance under this activity code.",Cargo,N/A,N/A
Maritime,Maritime Regulated Cargo - Inspections,Maritime,commercial,cargo,passenger pathway,cargo_shipment,na,,,,Maritime Regulated Cargo - Inspections,non-passenger related,non-passenger related,non-passenger related,"Record the number of physical inspections performed on cargo by bill of ladings specifically regulated by 7 CFR, 9 CFR, or 50 CFR. DO NOT include examinations by Non-Intrusive Inspection Technology (NII).","Record the number of physical inspections performed on cargo by bill of ladings specifically regulated by 7 CFR, 9 CFR, or 50 CFR. DO NOT include examinations by Non-Intrusive Inspection Technology (NII).",Cargo,N/A,N/A
Maritime,Maritime Ship Garbage Violation CBP/PPQ 592,Maritime,unspecified,unspecified,passenger pathway,garbage,unspecified,unspecified,,interception_or_violation,Maritime Ship Garbage Violation CBP/PPQ 592,non-passenger related,non-passenger related,non-passenger related,"Record the number of ship garbage violations issued having leaking, uncovered, and exposed garbage containers, or disposing or dumping garbage in an unauthorized manner. Source document is the CBP-AI/PPQ 592.","Record the number of ship garbage violations issued having leaking, uncovered, and exposed garbage containers, or disposing or dumping garbage in an unauthorized manner. Source document is the CBP-AI/PPQ 592.",Vessel,N/A,N/A
Maritime,Maritime Ship Notification Violation CBP/PPQ 592,Maritime,commercial,unspecified,passenger pathway,conveyance,unspecified,unspecified,,interception_or_violation,Maritime Ship Notification Violation CBP/PPQ 592,non-passenger related,non-passenger related,non-passenger related,Record the number of failure to provide advance notification of arrival of a maritime carrier when advance notification is required. Source document is the CBP-AI/PPQ 592.,Record the number of failure to provide advance notification of arrival of a maritime carrier when advance notification is required. Source document is the CBP-AI/PPQ 592.,Vessel,N/A,N/A
Maritime,Maritime Shipments Released under CRA,Maritime,commercial,cargo,passenger pathway,cargo_shipment,na,,,,Maritime Shipments Released under CRA,non-passenger related,non-passenger related,non-passenger related,Report by bill of lading the number of shipments released by a CBP Agriculture Specialist (CBPAS) following the interception of a NONREPORTABLE organism(s) for which the CBPAS has received Cargo Release Authority (CRA) for the organism(s) intercepted.,Report by bill of lading the number of shipments released by a CBP Agriculture Specialist (CBPAS) following the interception of a NONREPORTABLE organism(s) for which the CBPAS has received Cargo Release Authority (CRA) for the organism(s) intercepted.,?,N/A,N/A
Maritime,Maritime Ships Monitored For Garbage Control and Seal Checks,Maritime,unspecified,unspecified,passenger pathway,garbage,na,,,,Maritime Ships Monitored For Garbage Control and Seal Checks,non-passenger related,non-passenger related,non-passenger related,Record spot-check visits to both commercial and non-commercial vessels to assess compliance with garbage regulations and/or seal checks. Source document is Form 288.,Record spot-check visits to both commercial and non-commercial vessels to assess compliance with garbage regulations and/or seal checks. Source document is Form 288.,Vessel,N/A,N/A
Maritime,Maritime Soil QMIs - Cargo,Maritime,commercial,cargo,passenger pathway,cargo_shipment,fomite,container_or_conveyance,,interception_or_violation,Maritime Soil QMIs - Cargo,non-passenger related,non-passenger related,non-passenger related,Record the number of soil interceptions from maritime cargo inspections.  Do not include soil removed from a cargo container being treated for soil contamination.,Record the number of soil interceptions from maritime cargo inspections.  Do not include soil removed from a cargo container being treated for soil contamination.,Cargo,N/A,N/A
Maritime,Maritime Soil QMIs - Passenger Baggage,Maritime,unspecified,passenger,passenger pathway,baggage,fomite,personal_effects,,interception_or_violation,Soil QMIs - Passenger Baggage,Soil QMIs,Soil QMIs,Soil QMIs,Record the number of soil interceptions from maritime passenger baggage.,Record the number of soil interceptions from maritime passenger baggage.,Passenger,N/A,Maritime Passenger
Maritime,"Maritime Total Inedible Animal QMIs, Cargo",Maritime,commercial,cargo,passenger pathway,cargo_shipment,swine_products_byproducts,personal_use_consumption,,interception_or_violation,"Maritime Total Inedible Animal QMIs, Cargo",non-passenger related,non-passenger related,non-passenger related,"Record the number of inedible animal byproducts intercepted from Bills of Lading of cargo.  Animal byproducts are inedible products such as skins, empty egg shells, horns, etc. Only record those interceptions incidental to the inspection, not the cargo itself.","Record the number of inedible animal byproducts intercepted from Bills of Lading of cargo.  Animal byproducts are inedible products such as skins, empty egg shells, horns, etc. Only record those interceptions incidental to the inspection, not the cargo itself.",Cargo,N/A,N/A
Maritime,Maritime Total Meat - Other QMIs  Cargo,Maritime,commercial,cargo,passenger pathway,cargo_shipment,na,,,,Maritime Total Meat - Other QMIs  Cargo,non-passenger related,non-passenger related,non-passenger related,"Record the number of other meat interceptions found during cargo inspections that do not fall under the MEAT/POULTRY/DAIRY category.  Examples would include bush meat, monkey, rodents, mammals, and other unidentifiable meat products. These are products not classified as dairy,  avian, swine, or ruminant","Record the number of other meat interceptions found during cargo inspections that do not fall under the MEAT/POULTRY/DAIRY category.  Examples would include bush meat, monkey, rodents, mammals, and other unidentifiable meat products. These are products not classified as dairy,  avian, swine, or ruminant",Cargo,N/A,N/A
Maritime,"Maritime Total Meat/Poultry/ Dairy QMIs, Cargo",Maritime,commercial,cargo,passenger pathway,cargo_shipment,swine_products_byproducts,personal_use_consumption,,interception_or_violation,"Maritime Total Meat/Poultry/ Dairy QMIs, Cargo",non-passenger related,non-passenger related,non-passenger related,"Record the number of MEAT/POULTRY/DAIRY interceptions found during cargo inspections. For example, a dried salami seized out of a crate of household goods is one interception. Several containers of a meat product that were rejected would NOT count as an meat/poultry/dairy interception. It is not incidental to the inspection.","Record the number of MEAT/POULTRY/DAIRY interceptions found during cargo inspections. For example, a dried salami seized out of a crate of household goods is one interception. Several containers of a meat product that were rejected would NOT count as an meat/poultry/dairy interception. It is not incidental to the inspection.",Cargo,N/A,N/A
Maritime,"Maritime Violations, Reported To USCG",Maritime,unspecified,unspecified,passenger pathway,conveyance,na,,,,"Maritime Violations, Reported To USCG",non-passenger related,non-passenger related,non-passenger related,Record the number of MARPOL violations reported to the US Coast Guard. Source document is the PPQ 288.,Record the number of MARPOL violations reported to the US Coast Guard. Source document is the PPQ 288.,?,N/A,N/A
Express Courier,Number Of Express Courier Packages X-Rayed,Airport,Aircraft,eco plane,eco pathway,package,na,,,,Express Courier Packages X Rayed - Express Courier,Packages with x-ray taken,Packages with x-ray taken,Total number of people (or vehicles for vehicle pathway) preinspected,,,Packages,N/A,
Pre-Clearance,"Pre-Clearance CBP Pest Interceptions Submitted,  Baggage",Pre-Clearance,Aircraft,passenger,passenger pathway,baggage,na,,,,,,,Total Pest Interceptions Submitted,Total Pest Interceptions,,Passenger,N/A,Airport Passenger
Pre-Clearance,Pre-Clearance Civil Penalty Passenger/Crew,Pre-Clearance,Aircraft,passenger,passenger pathway,baggage,na,,,,,,,number of people issued civil penalties (CBP-AI Form 591),number of people issued civil penalties (CBP-AI Form 591) or violations (PPQ518),,Passenger,N/A,Airport Passenger
Pre-Clearance,Pre-Clearance Count Passenger/Crew,Pre-Clearance,Aircraft,passenger,passenger pathway,baggage,na,,,,,,,Total number of people (or vehicles for vehicle pathway) arriving,Total number of people (or vehicles for vehicle pathway) arriving,,Passenger,N/A,Airport Passenger
Pre-Clearance,"Pre-Clearance Inspections, Passenger/Crew",Pre-Clearance,Aircraft,passenger,passenger pathway,baggage,na,,,,,,,Total number of people (or vehicles for vehicle pathway) inspected,Total number of people (or vehicles for vehicle pathway) inspected,,Passenger,N/A,Airport Passenger
Pre-Clearance,Pre-Clearance Other Meat Byproducts,Pre-Clearance,Aircraft,passenger,passenger pathway,baggage,na,,,,,,,Animal QMIs,Animal QMIs,,Passenger,N/A,Airport Passenger
Pre-Clearance,Pre-Clearance QMIs Avian,Pre-Clearance,Aircraft,passenger,passenger pathway,baggage,na,,,,,,,Animal QMIs,Animal QMIs,,Passenger,N/A,Airport Passenger
Pre-Clearance,Pre-Clearance QMIs Avian Byproduct,Pre-Clearance,Aircraft,passenger,passenger pathway,baggage,na,,,,,,,Animal QMIs,Animal QMIs,,Passenger,N/A,Airport Passenger
Pre-Clearance,Pre-Clearance QMIs Dairy,Pre-Clearance,Aircraft,passenger,passenger pathway,baggage,na,,,,,,,Animal QMIs,Animal QMIs,,Passenger,N/A,Airport Passenger
Pre-Clearance,Pre-Clearance QMIs Dairy Byproduct,Pre-Clearance,Aircraft,passenger,passenger pathway,baggage,na,,,,,,,Animal QMIs,Animal QMIs,,Passenger,N/A,Airport Passenger
Pre-Clearance,Pre-Clearance QMIs Other Meat,Pre-Clearance,Aircraft,passenger,passenger pathway,baggage,na,,,,,,,Animal QMIs,Animal QMIs,,Passenger,N/A,Airport Passenger
Pre-Clearance,Pre-Clearance QMIs Plant,Pre-Clearance,Aircraft,passenger,passenger pathway,baggage,na,,,,,,,Plant QMIs,Plant QMIs,,Passenger,N/A,Airport Passenger
Pre-Clearance,Pre-Clearance QMIs Ruminant,Pre-Clearance,Aircraft,passenger,passenger pathway,baggage,na,,,,,,,Animal QMIs,Animal QMIs,,Passenger,N/A,Airport Passenger
Pre-Clearance,Pre-Clearance QMIs Ruminant Byproduct,Pre-Clearance,Aircraft,passenger,passenger pathway,baggage,na,,,,,,,Animal QMIs,Animal QMIs,,Passenger,N/A,Airport Passenger
